video_id,angry,disgust,fear,happy,sad,surprise,neutral
1hvjujb-kGI,0,0,1,0,0,0,0
1iA7Nm0a5fI,0,0,0,1,0,0,0
1ibMXo7xy-c,0,0,0,0,0,0,0
1iCm8tYX-Vw,0,0,0,0,0,1,2
1Ii8XM1_rPc,0,0,0,0,0,0,1
1IMpfhmV3lY,0,0,1,1,0,0,0
1Iw340-lV64,0,0,0,1,0,0,0
1IwOSzyG93I,0,0,0,0,1,0,0
1Ix5qGWIwaw,0,0,0,0,0,0,0
1J3Przg6Dr0,0,0,0,0,0,0,0
1jb2nyrnKP0,0,0,0,0,0,1,0
1JHY490K_A8,0,0,0,0,0,0,0
1JXCJIbSC_w,0,0,0,0,0,0,0
1kH41IgCwag,0,0,0,1,1,0,0
1kih6ZQZoHk,0,0,0,1,0,0,1
1KXekSozb8w,1,0,0,0,0,0,0
1KzRzI7mebM,0,0,0,0,0,0,0
1l26UFQ06eQ,0,0,0,2,0,0,1
1LgE9GMjKKA,0,0,0,0,0,0,0
1LHXB6MzLfo,0,0,0,0,0,1,0
1Lk97JTMnug,0,0,0,1,0,0,0
1lqmssz_i0E,0,0,0,1,0,0,1
1Lsf7S_Hq6A,1,0,0,0,2,0,0
1l_xmJnxqiE,0,0,0,1,0,0,0
1M60NLF3Lko,0,0,0,2,0,0,0
1mlU-0DtZ6g,1,0,0,0,0,0,0
1n1HxIxF5hE,0,0,0,0,0,0,0
1n2b0NdL6_E,0,0,0,0,0,0,0
1NASdYa8lTw,0,0,0,0,0,0,1
1Ne1hqOXKKI,0,0,0,0,0,0,0
1NhedxVMVms,0,0,0,0,0,0,0
1NVQR9yVW7o,0,0,0,0,0,0,1
1O1S0RGfJ2E,0,0,1,0,0,0,0
1o2hoeFrj2s,1,0,1,0,0,0,0
1OCTv47XQpA,0,0,0,0,0,0,1
1Og_FpsrHm8,1,0,0,0,0,0,0
1OjW6wfOthY,0,0,0,0,0,0,0
1omjxrlquIE,0,0,0,0,0,0,0
1oMxrHXzOsY,0,0,0,0,0,0,0
1oqUs36D92w,0,0,0,0,0,0,1
1P5riVVHyfs,0,0,0,1,0,0,0
1P9p_ECUvCo,0,0,0,0,1,0,0
